id;id_customer;id_product;quantity;price;createdat
1;48469;32217;74058;74141;2021-02-28T03:02:48
2;90598;76865;66933;34818;2021-02-27T21:36:38
3;63528;68713;57039;67263;2021-02-28T19:22:51
4;69947;20742;55341;26312;2021-02-27T22:43:01
5;77186;49140;50210;44495;2021-02-28T11:21:08
6;48734;77913;49948;96360;2021-02-28T06:06:34
7;80077;29939;17935;87953;2021-02-28T06:09:06
8;36148;67206;1403;87119;2021-02-28T09:33:37
9;59476;40656;3682;37759;2021-02-28T11:05:04
10;60230;89808;73814;70320;2021-02-28T06:06:46
