id;name;description;price;stock;id_category;image;createdat
1;Generic Steel Tuna;website calculating;57374;81236;38757;Principal;2021-02-28T02:36:42
2;wireless Chilean Peso Unidades de fomento;reboot;76808;92572;63950;Sri Lanka Rupee;2021-02-28T00:01:43
3;actuating THX;Division;6255;13165;4972;Kina networks;2021-02-28T11:05:11
4;Michigan Incredible Infrastructure;Internal compressing;55080;63810;30312;green Credit Card Account;2021-02-28T08:36:19
5;intranet;Ball Australian Dollar;4184;16473;23281;digital;2021-02-28T18:08:12
6;CFP Franc aggregate;Security;46269;94963;80588;distributed Dynamic auxiliary;2021-02-28T00:22:08
7;COM Personal Loan Account yellow;Cape Verde;40746;27546;52784;Prairie;2021-02-28T09:52:23
8;invoice;Liaison;22423;16073;14900;Central Ergonomic Concrete Ball;2021-02-27T23:42:26
9;Checking Account methodical optical;Cheese rich multi-byte;80408;45155;90340;project Stand-alone Computer;2021-02-28T12:09:02
10;Sleek Soft Sausages Practical;User-friendly lavender wireless;77577;35940;21464;Harbors backing up;2021-02-27T22:52:13
